speaker,cog,skewness,consonant,word,,
M01,6667.5122779204,0.5414474381,s,mmwus,5854.9225014559,s
M01,5350.8318759702,0.8244507139,s,mwus,5033.2567248718,t
M01,5592.7992057342,0.9345398398,s,mmwus,4097.0016665557,t̻
M01,6343.2769538477,0.9702234158,t,ahtan,,
M01,4559.0037208905,1.4971933213,t,iti,,
M01,4929.6224453423,1.4065145271,t̻,at̻a,,
M01,3879.2051437155,1.9251664715,t̻,it̻ik,,
M01,3860.9627751997,2.0105766807,t̻,at̻a,,
M01,3959.1573644735,1.6465966262,t,ahtan,,
M01,5079.8155908337,1.2810014906,t,iti,,
M01,4258.4062902651,1.7946328978,t̻,it̻ik,,
M01,6814.4696774457,0.6334590096,s,mwus,,
M01,5206.3125092986,1.107017821,s,mmwus,,
M01,5186.023721266,0.9784533313,s,nimenseng,,
M01,6695.5005139199,0.5621930565,s,mwus,,
M01,5351.895591808,0.8791333053,s,nimenseng,,
M01,5828.9571397403,0.7814673415,s,kamwus,,
M01,5633.5875657732,0.9817235077,t,iti,,
M01,3719.6073324779,2.1797195593,t̻,at̻a,,
M01,4624.6991534125,1.4111736064,t,ahtan,,
M01,3934.2060123333,1.8299747617,t̻,it̻ik,,
M02,7256.1780591917,0.5708530135,s,mmwus,,
M02,5767.5900845597,0.7990888534,s,nimenseng,,
M02,6404.6046526962,0.4281134446,s,mwus,,
M02,5774.4344609523,0.7786921276,s,nimenseng,,
M02,5502.1823020828,0.8722036138,t̻,nget̻,,
M02,4867.7581137627,1.121709998,t̻,at̻a,,
M02,6119.6966843077,0.7471266502,t̻,it̻ik,,
M02,5029.0140497486,1.078242093,t̻,at̻a,,
M02,6720.1435226202,0.6163709096,t,ahtan,,
M02,5394.0818141776,0.9478749977,t,iti,,
M02,5964.4868931773,1.0404011922,s,nimenseng,,
M02,6195.1935919918,0.566024608,t̻,it̻ik,,
M02,7392.217679746,0.3087094035,t,iti,,
M02,5465.5050801325,1.2213229344,t̻,at̻a,,
M02,5282.0001065827,0.9408783365,s,nimenseng,,
F01,4908.7973508462,1.0506514257,t,ahtan,,
F01,6657.3380119866,0.7468409266,s,mwus,,
F01,6035.6340342007,0.9073212326,s,mmwus,,
F01,5565.2779089128,0.9113244567,t,iti,,
F01,4271.5761123583,1.4758175579,t̻,at̻a,,
F01,4063.2842943035,1.7127219346,t̻,it̻ik,,
F01,7636.0354485158,0.2497072758,s,nimenseng,,
F01,4754.5291150357,1.4782928094,t̻,at̻a,,
F01,5436.058865282,1.0923718314,t,ahtan,,
F01,5504.5413542663,1.1452338295,t,iti,,
F01,4958.0894415034,1.2354549922,t̻,it̻ik,,
F01,9014.1904535162,0.1098279627,s,nimenseng,,
M03,6188.1233024155,1.0146530563,t,ahtan,,
M03,7352.9454049708,0.6313438606,s,mwus,,
M03,6446.8873555019,0.7651687687,s,mmwus,,
M03,5423.5030311298,1.1337046709,t,iti,,
M03,6709.3564347506,0.8653168399,t̻,at̻a,,
M03,6529.3733418976,0.7970720115,t̻,it̻ik,,
M03,4954.9774973812,1.3436221642,t̻,at̻a,,
M03,5535.0759966842,1.2362334024,t,ahtan,,
M03,5448.8206398026,1.0339214155,t,iti,,
M03,7563.4615980098,0.700863672,t̻,it̻ik,,
M03,6548.5647943386,0.8297268852,s,nimenseng,,
M03,5229.3204927894,1.3337735724,t,iti,,
M03,6238.5751670616,0.778283806,s,nimenseng,,
M03,6306.0833033361,0.9219253625,t̻,at̻a,,
M03,5538.3289629129,1.0841867366,t,ahtan,,
M03,6575.3930841565,0.7417114115,t̻,it̻ik,,
F02,6786.1129186719,0.6345556183,s,mwus,,
F02,7261.2702601439,0.4530302157,s,mmwus,,
F02,8389.6753592482,0.3428467214,s,nimenseng,,
F02,6321.6353610822,0.9355601129,t,ahtan,,
F02,5411.5471300538,1.2029022238,t,iti,,
F02,4972.2704211541,1.4212435045,t̻,at̻a,,
F02,4928.0924409461,1.426697011,t̻,it̻ik,,
F02,8393.6290467483,0.0665876139,s,nimenseng,,
F02,5792.2058027491,1.0373982384,t̻,at̻a,,
F02,4242.559203693,1.6172564815,t,ahtan,,
F02,5375.1375807636,1.1883798714,t,iti,,
F02,5176.3942457109,1.3325687523,t̻,it̻ik,,
F02,6635.4955553339,0.8814421607,t,iti,,
F02,5300.0771956478,1.228635423,t̻,at̻a,,
F02,4469.8622424323,1.498986791,t̻,it̻ik,,
F02,7923.7144512372,0.3652952757,s,nimenseng,,
