speaker_id,f1,f2,f3,vowel,gender,word,c_initial,c_final,v_length,group,ci,cf,group2
M02,496.979817,2959.126,,i,m,kihd,back,front,long,bf,,,
M02,460.18,1028.65,,o,m,popohl,front,front,short,ff,,,
M02,748.566635,1071.543248,,oa,m,koakon,back,back,short,bb,,,
M02,465.7,782.03821,,o,m,kohp,back,front,long,bf,,,
M02,720.165584,1091.547092,,oa,m,poahd,front,front,long,ff,,,
M02,597.3,1025.791,,oa,m,koakon,back,back,short,bb,,,
M02,462.121167,909.64,,o,m,kopil,back,front,short,bf,,,
M02,482.353,911.744546,,o,m,dohpeseng,front,front,long,ff,,,
M02,761.575856,1049.94,,oa,m,koadi,back,front,short,bf,,,
M02,489.27,743.02,,o,m,kohke,back,back,long,bb,,,
M02,722.105684,1148.62,,oa,m,poad,front,back,short,fb,,,
M02,493.73639,779.45,,oa,m,koahpi,back,front,long,bf,,,
M02,702.36,1042.21,,oa,m,poahd,front,front,long,ff,,,
M02,678.158581,997.918288,,oa,m,koahkoa,back,back,long,bb,,,
M02,617.7787,1746.13,,e,m,peki,front,back,short,fb,,,
M02,501.732733,2135.98,,e,m,pehpe,front,front,long,ff,,,
M02,521.83,2213.829,,e,m,keke,back,back,short,bb,,,
M02,574.849,2143.77217,,e,m,kehk,back,back,long,bb,,,
M02,690.406,1691.04,,e,m,kep,back,front,short,bf,,,
M02,529.017595,2167.297888,,e,m,pehpe,front,front,long,ff,,,
M02,696.798,1140.449,,oa,m,koahp,back,front,long,bf,,,
M02,590.948,2153.796,,e,m,pehkiek,front,back,long,fb,,,
F01,475.5486,957.869796,,u,f,kull,back,front,short,bf,,,
F01,829.24,1810.825973,,e,f,dek,front,back,short,fb,,,
F01,510.541888,1874.308685,,i,f,pik,front,back,short,fb,,,
F01,928.997546,1641.04952,,a,f,pap,front,front,short,ff,,,
F01,782.71,1294.7596,,oa,f,poar,front,back,short,fb,,,
F01,722.8234,1021.808895,,oa,f,koal,back,front,short,bf,,,
F01,806.451799,1444.884156,,o,f,pok,front,back,short,fb,,,
F01,926.869,1611.95965,,a,f,pahpa,front,front,long,ff,,,
F01,628.161197,2329.0382,,e,f,dehk,front,back,long,fb,,,
F01,422.6,1008.878772,,u,f,tuki,back,back,short,bb,,,
F01,809.7559,1255.9,,o,f,pohk,front,back,long,fb,,,
F01,774.48789,1177.137,,oa,f,poahr,front,back,long,fb,,,
F01,322.06,2751.2698,,i,f,pihk,front,back,long,fb,,,
F01,378.183245,914.414,,u,f,tuhke,back,back,long,bb,,,
F01,901.86,1660.6386,,a,f,pak,front,back,short,fb,,,
F01,661.4115,952.356,,oa,f,koahl,back,front,long,bf,,,
F01,883.92,1606.83,,a,f,kak,back,back,short,bb,,,
F01,949.522959,1768.87,,a,f,pahk,front,back,long,fb,,,
F01,885.924865,1557.86,,a,f,kapa,back,front,short,bf,,,
F01,934.388637,1483.51,,a,f,kahp,back,front,long,bf,,,
F01,562.83,1351.088839,,u,f,dul,front,front,short,ff,,,
F01,967.21,1620.0127,,a,f,kahk,back,back,long,bb,,,
F01,584.668795,1278.727932,,u,f,duk,front,back,short,fb,,,
F01,494.986,1038.68,,u,f,duhp,front,front,long,ff,,,
F01,518.65,999.8,,u,f,kuk,back,back,short,bb,,,
F01,362.486587,799.322,,u,f,duhkihla,front,back,long,fb,,,
F01,306.8,768.095599,,u,f,kuhpene,back,front,long,bf,,,
F01,406.319879,660.8969,,u,f,kuht,back,back,long,bb,,,
F01,582.31833,1524.379,,i,f,kik,back,back,short,bb,,,
F01,559.017846,1683.687561,,i,f,pik,front,back,short,fb,,,
F01,576.034,2106.67,,i,f,pip,front,front,short,ff,,,
F01,357.8478,2797.575799,,i,f,dihp,front,front,long,ff,,,
F01,324.65,2716.46,,i,f,kihk,back,back,long,bb,,,
F01,522.727,1692.855784,,i,f,kipar,back,front,short,bf,,,
F01,868.5526,1620.4613,,a,f,kipar,front,back,short,fb,,,
F01,581.414627,1532.9127,,o,f,popohl,front,front,short,ff,,,
F01,556.877215,950.557147,,o,f,kokus,back,back,short,bb,,,
F01,360.067,2701.039,,i,f,kihd,back,front,long,bf,,,
F01,764.69,1220.6967,,oa,f,poad,front,front,short,ff,,,
F01,804.287,1192.3336,,oa,f,koakon,back,back,short,bb,,,
F01,647.441664,994.332973,,o,f,kohp,back,front,long,bf,,,
F01,636.098985,1040.91161,,o,f,dohpeseng,front,front,long,ff,,,
F01,722.59,1002.452459,,o,f,kopil,back,front,short,bf,,,
F01,777.096,1393.786,,oa,f,poak,front,back,short,fb,,,
F01,729.3,1439.2,,oa,f,koadi,back,front,short,bf,,,
F01,509.8476,778.026,,o,f,kohke,back,back,long,bb,,,
F01,703.31,1043.5925,,oa,f,koahkoa,back,back,long,bb,,,
F01,723.9,1123.6,,oa,f,koahpi,back,front,short,bf,,,
F01,779.0483,1251.2,,oa,f,poahd,front,front,long,ff,,,
F01,733.866,1985.4175,,e,f,keke,back,back,short,bb,,,
F01,733.889687,1684.94,,e,f,peki,front,back,short,fb,,,
F01,698.5975,2049.92,,e,f,pepe,front,front,short,ff,,,
F01,666.8497,2260.18,,e,f,pehpe,front,front,long,ff,,,
F01,588.822095,2285.71,,e,f,kehk,back,back,long,bb,,,
F01,733.7,1734.68,,e,f,kep,back,front,short,bf,,,
F01,611.17,2221.26,,e,f,kehp,back,front,long,bf,,,
F01,538.94,2454.81,,e,f,kehp,back,front,long,bf,,,
F01,536.048281,2324.8575,,e,f,pehkiek,front,back,long,fb,,,
M03,677.97,1315.31,,a,m,pap,front,front,short,ff,,,
M03,565.6167,1713.399,,e,m,dek,front,back,short,fb,,,
M03,426.622,1456.184,,i,m,pik,front,back,short,fb,,,
M03,508.24,1077.66,,o,m,pok,front,back,short,fb,,,
M03,619.44,1079.36,,oa,m,poar,front,back,short,fb,,,
M03,587.73,1067.096762,,oa,m,koal,back,front,short,bf,,,
M03,397.119375,1201.464596,,u,m,tuki,back,back,short,bb,,,
M03,776.762355,1453.073518,,a,m,pahpa,front,front,long,ff,,,
M03,512.708427,1955.7443,,e,m,dehk,front,back,long,fb,,,
M03,339.349046,2017.799519,,i,m,pihk,front,back,long,fb,,,
M03,430.263431,874.755859,,o,m,pohk,front,back,long,fb,,,
M03,559.1456,980.377898,,oa,m,poahr,front,back,long,fb,,,
M03,628.37,968.09973,,oa,m,koahl,back,front,long,bf,,,
M03,367.262297,901.98,,u,m,tuhke,back,back,long,bb,,,
M03,697.039429,1479.565149,,a,m,pak,front,back,short,fb,,,
M03,418.249,954.097,,u,m,kull,back,front,short,bf,,,
M03,729.3737,1393.492526,,a,m,kapa,back,front,short,bf,,,
M03,662.722336,1390.037776,,a,m,kak,back,back,short,bb,,,
M03,773.336489,1483.193065,,a,m,pahk,front,back,long,fb,,,
M03,780.312507,1413.714106,,a,m,kahk,back,back,long,bb,,,
M03,798.33636,1428.26617,,a,m,kahp,back,front,long,bf,,,
M03,410.6,1143.535742,,u,m,dul,front,front,short,ff,,,
M03,400.3295,886.33415,,u,m,kuk,back,back,short,bb,,,
M03,397.494659,912.208738,,u,m,duk,front,back,short,fb,,,
M03,363.896651,828.38,,u,m,duhp,front,front,long,ff,,,
M03,351.533,748.87,,u,m,kuht,back,back,long,bb,,,
M03,385.709754,920.386,,u,m,duhkihla,front,back,long,fb,,,
M03,319.281757,758.71,,u,m,kuhpene,back,front,long,bf,,,
M03,394.0767,1562.2,,i,m,pip,front,front,short,ff,,,
M03,434.65,1199.069,,i,m,kik,back,back,short,bb,,,
M03,453.62,1510.8656,,i,m,pik,front,back,short,fb,,,
M03,408.52535,1281.185,,i,m,kipar,back,front,short,bf,,,
M03,339.4156,2096.555779,,i,m,dihp,front,front,long,ff,,,
M03,362.889883,2127.42,,i,m,kihk,back,back,long,bb,,,
M03,360.012488,2075.079981,,i,m,kihd,back,front,long,bf,,,
M03,443.998769,1194.432874,,o,m,popohl,front,front,short,ff,,,
M03,418.443726,809.56,,o,m,kokus,back,back,short,bb,,,
M03,484.322923,895.406603,,o,m,kohp,back,front,long,bf,,,
